,Buy Date,Stocks,Sell Date,Invested Amount (Rs.),Profit & Loss (Rs.),Returns (%),Opening Balance (Rs.),Closing Balance (Rs.),Position
0,26-11-2018,198,10-12-2018,9999.0,-306.8998489379883,-3.069305419921875,10000.0,9693.100151062012,Closed
1,26-02-2019,207,22-03-2019,9656.550315856934,320.8498420715332,3.3226134755873327,9693.100151062012,10013.949993133545,Closed
2,12-04-2019,188,25-04-2019,10001.600143432617,-470.0,-4.699248052908988,10013.949993133545,9543.949993133545,Closed
3,27-05-2019,194,17-06-2019,9525.399703979492,-455.8997039794922,-4.786147753873548,9543.949993133545,9088.050289154053,Closed
4,11-09-2019,142,01-10-2019,9052.5,-284.0,-3.1372549019607843,9088.050289154053,8804.050289154053,Closed
5,29-10-2019,132,13-11-2019,8745.0,-382.8002014160156,-4.377360793779483,8804.050289154053,8421.250087738037,Closed
6,01-01-2020,131,08-01-2020,8370.900199890137,-530.5503997802734,-6.338032793500947,8421.250087738037,7890.699687957764,Closed
7,16-01-2020,121,31-01-2020,7858.949630737305,-471.8997230529785,-6.004615695809035,7890.699687957764,7418.799964904785,Closed
8,20-04-2020,213,12-06-2020,7401.75,692.25,9.35251798561152,7418.799964904785,8111.049964904785,Closed
9,05-08-2020,230,01-09-2020,8107.5,816.4998245239258,10.070919821448365,8111.049964904785,8927.549789428711,Closed
10,06-11-2020,236,14-12-2020,8897.200180053711,2112.200180053711,23.740054593679606,8927.549789428711,11039.749969482422,Closed
11,13-01-2021,205,21-01-2021,10998.250312805176,20.49968719482422,0.1863904404044714,11039.749969482422,11060.249656677246,Closed
12,12-02-2021,193,24-02-2021,11049.25,-386.0,-3.4934497816593857,11060.249656677246,10674.249656677246,Closed
13,25-02-2021,188,26-02-2021,10622.0,-244.3998565673828,-2.3008836054168924,10674.249656677246,10429.849800109863,Closed
14,02-03-2021,170,31-03-2021,10420.999870300293,4037.500648498535,38.74388925006473,10429.849800109863,14467.350448608398,Closed
15,18-05-2021,141,25-05-2021,14367.900215148926,-211.5,-1.4720313812939922,14467.350448608398,14255.850448608398,Closed
16,31-08-2021,144,21-09-2021,14184.0,-568.799560546875,-4.010149186032674,14255.850448608398,13687.050888061523,Closed
17,05-10-2021,128,27-10-2021,13632.0,288.0,2.1126760563380254,13687.050888061523,13975.050888061523,Closed
18,10-01-2022,128,24-01-2022,13913.599609375,-755.19921875,-5.427777426059799,13975.050888061523,13219.851669311523,Closed
19,10-02-2022,107,24-02-2022,13134.25,-1241.199836730957,-9.450100589915355,13219.851669311523,11978.651832580566,Closed
20,23-03-2022,92,04-05-2022,11978.399719238281,12525.800842285156,104.56990195583225,11978.651832580566,24504.452674865723,Closed
21,12-07-2022,83,29-08-2022,24298.25,8424.5,34.67122117847994,24504.452674865723,32928.95267486572,Closed
22,10-11-2022,88,18-11-2022,32683.199462890625,-3071.199462890625,-9.39687519386756,32928.95267486572,29857.753211975098,Closed
23,09-03-2023,152,28-03-2023,29776.799072265625,-3351.59814453125,-11.255736845311082,29857.753211975098,26506.155067443848,Closed
24,24-04-2023,131,17-05-2023,26383.399200439453,4316.451599121094,16.36048322025616,26506.155067443848,30822.60666656494,Closed
25,25-07-2023,118,20-09-2023,30697.699279785156,12773.5,41.61061024013457,30822.60666656494,43596.10666656494,Closed
26,02-11-2023,116,,43262.201416015625,-42877.55142211914,47.85700669650581,43596.10666656494,44953.304542541504,Open
