,Buy Date,Stocks,Sell Date,Invested Amount (Rs.),Profit & Loss (Rs.),Returns (%),Opening Balance (Rs.),Closing Balance (Rs.),Position
0,15-04-2014,37,16-04-2014,9788.430847167969,-182.37246704101562,-1.8631430296489282,10000.0,9817.627532958984,Closed
1,06-06-2014,31,08-07-2014,9551.316833496094,1255.7828674316406,13.147745900624507,9817.627532958984,11073.410400390625,Closed
2,11-08-2014,30,18-09-2014,10980.193176269531,1638.2565307617188,14.920106636214104,11073.410400390625,12711.666931152344,Closed
3,09-01-2015,22,05-02-2015,12249.535278320312,-195.85693359375,-1.5988927673067366,12711.666931152344,12515.809997558594,Closed
4,12-03-2015,22,22-04-2015,12124.578125,2062.2945556640625,17.009206707256563,12515.809997558594,14578.104553222656,Closed
5,19-05-2015,22,26-05-2015,14549.91162109375,-410.778564453125,-2.8232375230210938,14578.104553222656,14167.325988769531,Closed
6,22-06-2015,21,23-07-2015,13751.306030273438,1257.4096069335938,9.143928614237895,14167.325988769531,15424.735595703125,Closed
7,29-09-2015,21,04-11-2015,15162.538330078125,1282.7713623046875,8.460135990291517,15424.735595703125,16707.506958007812,Closed
8,22-12-2015,20,07-01-2016,16070.42236328125,17.203369140625,0.10704988799754567,16707.506958007812,16724.710327148438,Closed
9,14-03-2016,23,25-04-2016,16207.203247070312,607.439208984375,3.747958236373572,16724.710327148438,17332.149536132812,Closed
10,05-07-2016,23,02-08-2016,16984.094787597656,-159.7113037109375,-0.9403580568071446,17332.149536132812,17172.438232421875,Closed
11,30-08-2016,22,16-09-2016,16826.154296875,-282.3463134765625,-1.6780204703638057,17172.438232421875,16890.091918945312,Closed
12,19-09-2016,21,10-10-2016,16188.041748046875,1043.8720092773438,6.448414363666255,16890.091918945312,17933.963928222656,Closed
13,18-01-2017,25,31-01-2017,17386.907958984375,-1033.7677001953125,-5.945667295380897,17933.963928222656,16900.196228027344,Closed
14,20-03-2017,24,29-03-2017,16230.9140625,-797.84326171875,-4.91557812854232,16900.196228027344,16102.352966308594,Closed
15,19-05-2017,28,22-05-2017,15991.829833984375,-541.298583984375,-3.384844571282619,16102.352966308594,15561.054382324219,Closed
16,15-06-2017,25,26-07-2017,15476.454162597656,2494.879150390625,16.12048292314956,15561.054382324219,18055.933532714844,Closed
17,28-08-2017,25,20-09-2017,17866.781616210938,52.87628173828125,0.29594743403762447,18055.933532714844,18108.809814453125,Closed
18,17-10-2017,24,10-11-2017,17638.97314453125,-561.85546875,-3.1853071272700317,18108.809814453125,17546.954345703125,Closed
19,09-03-2018,30,14-03-2018,17153.578491210938,-424.1729736328125,-2.4727958300371444,17546.954345703125,17122.781372070312,Closed
20,06-04-2018,28,03-05-2018,16738.286865234375,-20.2685546875,-0.12109097454648943,17122.781372070312,17102.512817382812,Closed
21,07-06-2018,32,11-07-2018,16916.640625,1890.09375,11.172985180088023,17102.512817382812,18992.606567382812,Closed
22,03-08-2018,31,21-09-2018,18643.869995117188,4175.1573486328125,22.394263367671428,18992.606567382812,23167.763916015625,Closed
23,31-10-2018,30,15-11-2018,22918.2421875,-317.0416259765625,-1.3833592619484691,23167.763916015625,22850.722290039062,Closed
24,04-12-2018,28,06-12-2018,22290.201171875,-1927.100341796875,-8.645504483954248,22850.722290039062,20923.621948242188,Closed
25,10-01-2019,27,29-01-2019,20277.889892578125,-366.6917724609375,-1.808332989297623,20923.621948242188,20556.93017578125,Closed
26,01-02-2019,26,04-02-2019,20050.876586914062,-850.7430419921875,-4.242921940616872,20556.93017578125,19706.187133789062,Closed
27,12-03-2019,26,11-04-2019,19466.365356445312,241.6759033203125,1.2415050210710987,19706.187133789062,19947.863037109375,Closed
28,13-08-2019,34,19-09-2019,19844.663208007812,111.931884765625,0.56404023385217,19947.863037109375,20059.794921875,Closed
29,20-12-2019,43,06-01-2020,19640.364166259766,-1123.1401062011719,-5.71852994523705,20059.794921875,18936.654815673828,Closed
30,14-01-2020,40,31-01-2020,18654.617919921875,42.724609375,0.22902966739068997,18936.654815673828,18979.379425048828,Closed
31,19-02-2020,32,25-02-2020,18764.2890625,-3052.2919921875,-16.266494200877744,18979.379425048828,15927.087432861328,Closed
32,09-04-2020,35,14-05-2020,15693.096160888672,7004.258575439453,44.63273852164309,15927.087432861328,22931.34600830078,Closed
33,20-07-2020,28,21-07-2020,22468.2021484375,-638.362060546875,-2.8411799766153933,22931.34600830078,22292.983947753906,Closed
34,31-07-2020,26,17-08-2020,22155.254760742188,-293.8504638671875,-1.3263240122513675,22292.983947753906,21999.13348388672,Closed
35,12-11-2020,26,14-12-2020,21284.467407226562,1312.48583984375,6.166402074961619,21999.13348388672,23311.61932373047,Closed
36,30-12-2020,26,15-01-2021,23037.761474609375,743.1534423828125,3.2258057850015787,23311.61932373047,24054.77276611328,Closed
37,06-04-2021,27,04-05-2021,23595.60223388672,1683.5152587890625,7.134868786571125,24054.77276611328,25738.288024902344,Closed
38,05-05-2021,25,11-05-2021,24912.782287597656,314.4561767578125,1.2622282534631157,25738.288024902344,26052.744201660156,Closed
39,05-07-2021,26,09-07-2021,25516.094360351562,-1371.7523193359375,-5.376027772759173,26052.744201660156,24680.99188232422,Closed
40,22-09-2021,34,22-10-2021,24383.816772460938,-1202.3515625,-4.930940769936942,24680.99188232422,23478.64031982422,Closed
41,09-12-2021,33,07-01-2022,22879.816040039062,154.10137939453125,0.6735254301208471,23478.64031982422,23632.74169921875,Closed
42,11-02-2022,34,22-02-2022,23399.333740234375,-2041.5916748046875,-8.724999170785097,23632.74169921875,21591.150024414062,Closed
43,21-03-2022,32,12-04-2022,21420.900390625,55.17578125,0.25757918782045586,21591.150024414062,21646.325805664062,Closed
44,17-06-2022,42,26-07-2022,21526.0869140625,434.0709228515625,2.016487829787561,21646.325805664062,22080.396728515625,Closed
45,02-08-2022,38,22-08-2022,21720.96142578125,-885.5294189453125,-4.076842647923728,22080.396728515625,21194.867309570312,Closed
46,18-10-2022,41,10-11-2022,21093.013549804688,-1625.6747741699219,-7.707171715086558,21194.867309570312,19569.19253540039,Closed
47,08-02-2023,44,01-03-2023,19459.785522460938,940.814208984375,4.834658675443593,19569.19253540039,20510.006744384766,Closed
48,22-03-2023,42,05-05-2023,20107.5,5052.5994873046875,25.127934787043095,20510.006744384766,25562.606231689453,Closed
49,02-08-2023,31,17-08-2023,25302.20037841797,1559.2996215820312,6.162703631546873,25562.606231689453,27121.905853271484,Closed
50,09-10-2023,29,11-10-2023,26423.350708007812,-326.25,-1.2347033637226335,27121.905853271484,26795.655853271484,Closed
51,12-10-2023,29,18-10-2023,26561.100708007812,-464.0,-1.746915555574513,26795.655853271484,26331.655853271484,Closed
