,Buy Date,Stocks,Sell Date,Invested Amount (Rs.),Profit & Loss (Rs.),Returns (%),Opening Balance (Rs.),Closing Balance (Rs.),Position
0,25-11-2013,115,13-12-2013,9984.170112609863,712.6618576049805,7.137917819578199,10000.0,10712.66185760498,Closed
1,25-02-2014,110,02-04-2014,10658.153381347656,2245.754165649414,21.07076231028544,10712.66185760498,12958.416023254395,Closed
2,09-05-2014,110,30-05-2014,12950.62515258789,3213.4632873535156,24.81319047915904,12958.416023254395,16171.87931060791,Closed
3,20-08-2014,115,08-09-2014,16148.77182006836,-422.9850769042969,-2.6193018368037446,16171.87931060791,15748.894233703613,Closed
4,21-10-2014,108,12-11-2014,15731.804443359375,593.7742309570312,3.77435552987484,15748.894233703613,16342.668464660645,Closed
5,02-01-2015,97,07-01-2015,16313.058181762695,-1271.0306549072266,-7.791492194444483,16342.668464660645,15071.637809753418,Closed
6,16-01-2015,90,05-02-2015,15056.106262207031,164.93911743164062,1.09549650194527,15071.637809753418,15236.576927185059,Closed
7,14-05-2015,108,11-06-2015,15205.97021484375,909.054931640625,5.978276419042472,15236.576927185059,16145.631858825684,Closed
8,24-06-2015,103,27-07-2015,16021.548156738281,1128.635513305664,7.044484729342382,16145.631858825684,17274.267372131348,Closed
9,22-03-2016,241,28-04-2016,17267.532691955566,1228.1140975952148,7.112273186356011,17274.267372131348,18502.381469726562,Closed
10,30-06-2016,235,26-07-2016,18424.733657836914,2827.9121017456055,15.34845580002595,18502.381469726562,21330.293571472168,Closed
11,07-09-2016,217,20-09-2016,21270.17702484131,-1799.0924453735352,-8.458286187615583,21330.293571472168,19531.201126098633,Closed
12,05-01-2017,247,21-02-2017,19456.247589111328,4174.279647827148,21.45470049509075,19531.201126098633,23705.48077392578,Closed
13,18-07-2017,267,03-08-2017,23668.611328125,-760.0349578857422,-3.2111514585674295,23705.48077392578,22945.44581604004,Closed
14,14-09-2017,269,25-09-2017,22922.836067199707,-1608.0298385620117,-7.014968976124825,22945.44581604004,21337.415977478027,Closed
15,24-10-2017,259,09-11-2017,21336.877723693848,943.4692306518555,4.4217773700046425,21337.415977478027,22280.885208129883,Closed
16,11-12-2017,259,17-01-2018,22195.678741455078,1971.6046981811523,8.88283129859313,22280.885208129883,24252.489906311035,Closed
17,11-04-2018,284,26-04-2018,24231.168090820312,-1136.6695251464844,-4.690939870856237,24252.489906311035,23115.82038116455,Closed
18,06-08-2018,327,10-09-2018,23111.404586791992,831.4559783935547,3.5976003763471986,23115.82038116455,23947.276359558105,Closed
19,20-12-2018,355,09-01-2019,23899.4828414917,-101.63402557373047,-0.425256170804178,23947.276359558105,23845.642333984375,Closed
20,01-03-2019,372,10-04-2019,23785.280731201172,2175.37353515625,9.145881268925393,23845.642333984375,26021.015869140625,Closed
21,27-05-2019,370,13-06-2019,25999.895935058594,-1430.5319213867188,-5.502067873501648,26021.015869140625,24590.483947753906,Closed
22,24-06-2019,345,05-07-2019,24576.61479949951,-1183.8107299804688,-4.816817692909348,24590.483947753906,23406.673217773438,Closed
23,18-10-2019,435,14-11-2019,23398.26707839966,-215.25650024414062,-0.9199677032614817,23406.673217773438,23191.416717529297,Closed
24,20-01-2020,521,31-01-2020,23177.271617889404,-1134.37105178833,-4.8943252272746545,23191.416717529297,22057.045665740967,Closed
25,28-04-2020,1063,17-06-2020,22040.0303440094,6838.196472167969,31.026257066958294,22057.045665740967,28895.242137908936,Closed
26,18-06-2020,919,14-07-2020,28877.1378326416,6503.040515899658,22.519685134961232,28895.242137908936,35398.282653808594,Closed
27,21-08-2020,879,02-09-2020,35362.61220932007,-1304.8930435180664,-3.6900357807112205,35398.282653808594,34093.38961029053,Closed
28,29-10-2020,1239,21-12-2020,34088.742307662964,5824.5132694244385,17.08632491294675,34093.38961029053,39917.902879714966,Closed
