,Buy Date,Stocks,Sell Date,Invested Amount (Rs.),Profit & Loss (Rs.),Returns (%),Opening Balance (Rs.),Closing Balance (Rs.),Position
0,18-12-2013,25,03-01-2014,9994.202423095703,49.971771240234375,0.5000075956511862,10000.0,10049.971771240234,Closed
1,07-03-2014,24,07-04-2014,9699.86572265625,833.983154296875,8.597883498004698,10049.971771240234,10883.95492553711,Closed
2,09-05-2014,23,29-05-2014,10666.43179321289,916.5234680175781,8.592596716371137,10883.95492553711,11800.478393554688,Closed
3,02-09-2014,24,15-09-2014,11526.45263671875,-236.991943359375,-2.0560700748850635,11800.478393554688,11563.486450195312,Closed
4,28-10-2014,26,01-12-2014,11392.33544921875,336.01873779296875,2.949515832734817,11563.486450195312,11899.505187988281,Closed
5,29-01-2015,27,10-02-2015,11771.60531616211,-600.3586120605469,-5.100057264375568,11899.505187988281,11299.146575927734,Closed
6,19-03-2015,28,24-04-2015,11245.458984375,298.8201904296875,2.6572520592079263,11299.146575927734,11597.966766357422,Closed
7,20-05-2015,26,27-05-2015,11213.760009765625,-290.56793212890625,-2.5911730933769084,11597.966766357422,11307.398834228516,Closed
8,04-06-2015,26,09-06-2015,11261.2626953125,-357.81341552734375,-3.1773827252629783,11307.398834228516,10949.585418701172,Closed
9,17-06-2015,24,08-07-2015,10605.71484375,744.85986328125,7.023193384462911,10949.585418701172,11694.445281982422,Closed
10,02-09-2015,29,05-11-2015,11691.564880371094,1197.9899291992188,10.24661746701263,11694.445281982422,12892.43521118164,Closed
11,02-12-2015,27,07-12-2015,12530.434844970703,-331.8565979003906,-2.648404480819644,12892.43521118164,12560.57861328125,Closed
12,17-12-2015,26,05-01-2016,12458.088684082031,-56.138671875,-0.4506202620529587,12560.57861328125,12504.43994140625,Closed
13,06-01-2016,25,19-01-2016,12245.867919921875,135.24856567382812,1.104442466293487,12504.43994140625,12639.688507080078,Closed
14,03-03-2016,26,04-04-2016,12496.95458984375,406.51580810546875,3.252918982644326,12639.688507080078,13046.204315185547,Closed
15,20-06-2016,27,27-06-2016,12819.129180908203,-447.28472900390625,-3.4891974539897452,13046.204315185547,12598.91958618164,Closed
16,05-07-2016,26,01-08-2016,12380.499694824219,204.45245361328125,1.651407121303472,12598.91958618164,12803.372039794922,Closed
